
File: VID-ALPH.TXT

SCSI Vendor ID Assignments
as of  5/21/97
PLASMON    Plasmon Data
PRAIRIE    PrairieTek
PREPRESS   PrePRESS Solutions
PRESOFT    PreSoft Architects
PRESTON    Preston Scientific
PRIAM      Priam
PRIMAGFX   Primagraphics Ltd
PROCOM     Procom Technology
PTI        Peripheral Technology Inc.


QIC        Quarter-Inch Cartridge Drive Standards, Inc.
QUALSTAR   Qualstar
QUANTUM    Quantum Corp.
QUANTEL    Quantel Ltd.


R-BYTE     R-Byte, Inc.
RACALREC   Racal Recorders
RADSTONE   Radstone Technology
RGI        Raster Graphics, Inc.
RICOH      Ricoh
RODIME     Rodime
RTI        Reference Technology


SAMSUNG    Samsung Electronics Co., Ltd.
SANKYO     Sankyo Seiki
SANYO      SANYO Electric Co., Ltd.
SCREEN     Dainippon Screen Mfg. Co., Ltd.
SDI        Storage Dimensions, Inc.
SEAGATE    Seagate
SEQUOIA    Sequoia Advanced Technologies, Inc.
Shinko     Shinko Electric Co., Ltd.
SIEMENS    Siemens
SII        Seiko Instruments Inc.
SMS        Scientific Micro Systems/OMTI
SNYSIDE    Sunnyside Computing Inc.
SONIC      Sonic Solutions
SONY       Sony Corporation Japan
SPECIAL    Special Computing Co.
SPECTRA    Spectra Logic, a Division of Western Automation Labs, Inc.
SPERRY     Sperry (now Unisys Corp.)
Sterling   Sterling Diagnostic Imaging, Inc.
STK        Storage Technology Corporation
STORM      Storm Technology, Inc.
StrmLgc    StreamLogic Corp.
SUMITOMO   Sumitomo Electric Industries, Ltd.
SUN        Sun Microsystems, Inc.
SYMBIOS    Symbios Logic Inc.
SyQuest    SyQuest Technology, Inc.
SYSGEN     Sysgen


T-MITTON   Transmitton England
TALARIS    Talaris Systems, Inc.
TALLGRAS   Tallgrass Technologies
TANDBERG   Tandberg Data A/S
TANDON     Tandon
TEAC       TEAC Japan
TECOLOTE   Tecolote Designs
TEGRA      Tegra Varityper
Tek        Tektronix
TENTIME    Laura Technologies, Inc.
TI-DSG     Texas Instruments
TOSHIBA    Toshiba Japan


ULTRA      UltraStor Corporation
UNISYS     Unisys
USCORE     Underscore, Inc.
USDC       US Design Corp.


VERBATIM   Verbatim Corporation
VEXCEL     VEXCEL IMAGING GmbH
VICOMSL1   Vicom Systems, Inc.
VRC        Vermont Research Corp.


WangDAT    WangDAT
WANGTEK    Wangtek
WDIGTL     Western Digital
WEARNES    Wearnes Technology Corporation
WSC0001    Wisecom, Inc.


X3         National Committee for Information Technology Standards (NCITS)
XEBEC      Xebec Corporation



